Device Information
******************************
Device Type:    TZ-TempU03
Firmware Ver:   3.16
ID:             TZ1903050283
Start Delay:    5 min
Log Interval:   30 min
Description:    PUNTO 3 BODEGA ORTOMAX
Note:
All times shown are based on UTC-5:00 and 24-Hour clock[DD/MM/YY HH:MM:SS]

Logging Summary
******************************
First Point:   28/04/21 18:49:09
Stop Time:     19/05/21 11:49:09
Number of Points:   995
Trip Length:   20d 17h 00m 00s
Stop Mode:     USB Stop
Max:    28.2C(Temp)/70.6%RH(Humidity)
Min:    21.5C(Temp)/50.3%RH(Humidity)
Average:25.9C(Temp)/63.1%RH(Humidity)
MKT:    26.1C

Marked Events
******************************
N/A

Alarm Condition	 ,Alarm Delay	 ,First Point Time	  ,Time of Violations 	,No.of Violations	  ,Status
******************************,******************************,******************************,******************************
Over 30.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Below 15.0C,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK
Over 70.0%RH,00d 00h 10m 00s, 02/05/21 09:49:09,00d 02h 30m 00s,6,Alarm
Below 0.0%RH,00d 00h 10m 00s,00/00/00 00:00:00,00d 00h 00m 00s,0,OK

Date,Time,Temperature(C),Humidity(%RH)
******************************,******************************,******************************,******************************
28/04/2021, 18:49:09, 26.4,62.4
28/04/2021, 19:19:09, 26.2,63.1
28/04/2021, 19:49:09, 26.7,64.5
28/04/2021, 20:19:09, 27.0,64.8
28/04/2021, 20:49:09, 27.1,64.6
28/04/2021, 21:19:09, 26.2,63.3
28/04/2021, 21:49:09, 25.9,62.6
28/04/2021, 22:19:09, 26.3,63.4
28/04/2021, 22:49:09, 26.5,64.2
28/04/2021, 23:19:09, 26.6,64.7
28/04/2021, 23:49:09, 26.7,64.9
29/04/2021, 00:19:09, 26.7,65.0
29/04/2021, 00:49:09, 26.8,65.1
29/04/2021, 01:19:09, 26.8,65.1
29/04/2021, 01:49:09, 26.8,65.2
29/04/2021, 02:19:09, 26.9,65.2
29/04/2021, 02:49:09, 26.9,65.3
29/04/2021, 03:19:09, 26.9,65.3
29/04/2021, 03:49:09, 26.9,65.4
29/04/2021, 04:19:09, 26.9,65.7
29/04/2021, 04:49:09, 26.9,65.8
29/04/2021, 05:19:09, 26.9,66.1
29/04/2021, 05:49:09, 26.9,66.3
29/04/2021, 06:19:09, 26.9,66.5
29/04/2021, 06:49:09, 26.9,66.6
29/04/2021, 07:19:09, 26.9,63.6
29/04/2021, 07:49:09, 26.8,61.9
29/04/2021, 08:19:09, 26.8,62.4
29/04/2021, 08:49:09, 26.3,60.7
29/04/2021, 09:19:09, 26.3,60.9
29/04/2021, 09:49:09, 26.1,60.4
29/04/2021, 10:19:09, 25.9,61.7
29/04/2021, 10:49:09, 25.9,62.1
29/04/2021, 11:19:09, 26.0,61.7
29/04/2021, 11:49:09, 26.2,61.8
29/04/2021, 12:19:09, 26.4,62.3
29/04/2021, 12:49:09, 26.9,65.0
29/04/2021, 13:19:09, 27.0,66.0
29/04/2021, 13:49:09, 27.0,66.5
29/04/2021, 14:19:09, 27.0,65.1
29/04/2021, 14:49:09, 27.1,63.3
29/04/2021, 15:19:09, 27.2,62.9
29/04/2021, 15:49:09, 26.3,57.4
29/04/2021, 16:19:09, 26.1,57.7
29/04/2021, 16:49:09, 26.2,58.9
29/04/2021, 17:19:09, 26.1,57.6
29/04/2021, 17:49:09, 26.0,61.6
29/04/2021, 18:19:09, 26.0,60.2
29/04/2021, 18:49:09, 25.6,57.8
29/04/2021, 19:19:09, 25.5,59.0
29/04/2021, 19:49:09, 25.2,55.9
29/04/2021, 20:19:09, 24.9,54.8
29/04/2021, 20:49:09, 25.7,63.0
29/04/2021, 21:19:09, 26.4,66.7
29/04/2021, 21:49:09, 26.7,68.1
29/04/2021, 22:19:09, 26.5,67.7
29/04/2021, 22:49:09, 26.5,67.5
29/04/2021, 23:19:09, 26.5,67.4
29/04/2021, 23:49:09, 26.5,67.3
30/04/2021, 00:19:09, 26.6,67.3
30/04/2021, 00:49:09, 26.6,67.3
30/04/2021, 01:19:09, 26.6,67.4
30/04/2021, 01:49:09, 26.6,67.5
30/04/2021, 02:19:09, 26.6,67.6
30/04/2021, 02:49:09, 26.6,67.7
30/04/2021, 03:19:09, 26.6,67.9
30/04/2021, 03:49:09, 26.6,67.9
30/04/2021, 04:19:09, 26.6,68.0
30/04/2021, 04:49:09, 26.6,68.1
30/04/2021, 05:19:09, 26.6,68.2
30/04/2021, 05:49:09, 26.7,68.2
30/04/2021, 06:19:09, 26.7,68.3
30/04/2021, 06:49:09, 26.7,68.5
30/04/2021, 07:19:09, 26.7,69.1
30/04/2021, 07:49:09, 26.6,65.9
30/04/2021, 08:19:09, 26.6,65.7
30/04/2021, 08:49:09, 26.7,66.3
30/04/2021, 09:19:09, 26.6,67.2
30/04/2021, 09:49:09, 26.7,66.6
30/04/2021, 10:19:09, 26.7,67.5
30/04/2021, 10:49:09, 26.7,68.3
30/04/2021, 11:19:09, 26.7,67.0
30/04/2021, 11:49:09, 26.7,65.5
30/04/2021, 12:19:09, 26.7,64.7
30/04/2021, 12:49:09, 26.6,61.3
30/04/2021, 13:19:09, 25.4,57.8
30/04/2021, 13:49:09, 24.7,56.1
30/04/2021, 14:19:09, 24.5,55.9
30/04/2021, 14:49:09, 24.3,54.4
30/04/2021, 15:19:09, 24.4,59.3
30/04/2021, 15:49:09, 25.1,61.7
30/04/2021, 16:19:09, 25.5,64.5
30/04/2021, 16:49:09, 25.7,66.4
30/04/2021, 17:19:09, 25.9,64.9
30/04/2021, 17:49:09, 26.0,64.7
30/04/2021, 18:19:09, 26.1,66.6
30/04/2021, 18:49:09, 26.3,67.9
30/04/2021, 19:19:09, 26.3,67.9
30/04/2021, 19:49:09, 26.3,66.9
30/04/2021, 20:19:09, 26.3,66.5
30/04/2021, 20:49:09, 26.3,66.0
30/04/2021, 21:19:09, 26.3,65.7
30/04/2021, 21:49:09, 26.3,65.3
30/04/2021, 22:19:09, 26.3,64.2
30/04/2021, 22:49:09, 26.3,62.2
30/04/2021, 23:19:09, 26.2,61.7
30/04/2021, 23:49:09, 26.3,63.1
01/05/2021, 00:19:09, 26.3,63.4
01/05/2021, 00:49:09, 26.3,63.8
01/05/2021, 01:19:09, 26.3,64.2
01/05/2021, 01:49:09, 26.3,64.5
01/05/2021, 02:19:09, 26.3,64.9
01/05/2021, 02:49:09, 26.3,65.2
01/05/2021, 03:19:09, 26.3,65.4
01/05/2021, 03:49:09, 26.3,65.6
01/05/2021, 04:19:09, 26.3,65.9
01/05/2021, 04:49:09, 26.3,66.1
01/05/2021, 05:19:09, 26.2,66.3
01/05/2021, 05:49:09, 26.2,66.5
01/05/2021, 06:19:09, 26.2,66.6
01/05/2021, 06:49:09, 26.2,66.7
01/05/2021, 07:19:09, 26.2,66.8
01/05/2021, 07:49:09, 26.1,60.7
01/05/2021, 08:19:09, 26.2,63.2
01/05/2021, 08:49:09, 26.1,63.9
01/05/2021, 09:19:09, 26.1,64.9
01/05/2021, 09:49:09, 26.1,65.1
01/05/2021, 10:19:09, 26.4,65.9
01/05/2021, 10:49:09, 26.4,64.3
01/05/2021, 11:19:09, 26.0,64.0
01/05/2021, 11:49:09, 26.3,66.3
01/05/2021, 12:19:09, 26.4,66.7
01/05/2021, 12:49:09, 26.5,67.0
01/05/2021, 13:19:09, 26.8,66.3
01/05/2021, 13:49:09, 26.9,67.4
01/05/2021, 14:19:09, 26.9,67.4
01/05/2021, 14:49:09, 26.9,67.4
01/05/2021, 15:19:09, 27.0,67.9
01/05/2021, 15:49:09, 27.1,68.1
01/05/2021, 16:19:09, 27.2,67.9
01/05/2021, 16:49:09, 27.2,67.6
01/05/2021, 17:19:09, 27.3,68.0
01/05/2021, 17:49:09, 27.3,67.7
01/05/2021, 18:19:09, 27.3,68.0
01/05/2021, 18:49:09, 27.3,68.8
01/05/2021, 19:19:09, 27.3,68.6
01/05/2021, 19:49:09, 27.4,68.5
01/05/2021, 20:19:09, 27.3,68.4
01/05/2021, 20:49:09, 27.3,68.7
01/05/2021, 21:19:09, 27.3,68.8
01/05/2021, 21:49:09, 27.3,68.8
01/05/2021, 22:19:09, 27.2,68.1
01/05/2021, 22:49:09, 27.2,67.0
01/05/2021, 23:19:09, 27.2,65.7
01/05/2021, 23:49:09, 27.2,64.4
02/05/2021, 00:19:09, 27.2,64.7
02/05/2021, 00:49:09, 27.2,65.3
02/05/2021, 01:19:09, 27.1,65.7
02/05/2021, 01:49:09, 27.1,66.0
02/05/2021, 02:19:09, 27.1,66.3
02/05/2021, 02:49:09, 27.1,66.6
02/05/2021, 03:19:09, 27.1,66.8
02/05/2021, 03:49:09, 27.1,67.1
02/05/2021, 04:19:09, 27.1,67.3
02/05/2021, 04:49:09, 27.0,67.5
02/05/2021, 05:19:09, 27.0,67.6
02/05/2021, 05:49:09, 27.0,67.8
02/05/2021, 06:19:09, 27.0,68.0
02/05/2021, 06:49:09, 26.9,68.6
02/05/2021, 07:19:09, 26.9,69.0
02/05/2021, 07:49:09, 26.9,69.9
02/05/2021, 08:19:09, 26.9,69.9
02/05/2021, 08:49:09, 26.9,69.3
02/05/2021, 09:19:09, 27.0,70.0
02/05/2021, 09:49:09, 27.0,70.1
02/05/2021, 10:19:09, 27.0,70.2
02/05/2021, 10:49:09, 27.1,70.4
02/05/2021, 11:19:09, 27.2,70.6
02/05/2021, 11:49:09, 27.2,70.5
02/05/2021, 12:19:09, 27.3,70.2
02/05/2021, 12:49:09, 27.3,69.7
02/05/2021, 13:19:09, 27.3,69.4
02/05/2021, 13:49:09, 27.4,69.0
02/05/2021, 14:19:09, 27.4,68.4
02/05/2021, 14:49:09, 27.5,67.8
02/05/2021, 15:19:09, 27.7,67.4
02/05/2021, 15:49:09, 27.8,67.2
02/05/2021, 16:19:09, 27.9,68.0
02/05/2021, 16:49:09, 28.0,68.2
02/05/2021, 17:19:09, 28.2,66.2
02/05/2021, 17:49:09, 28.2,65.1
02/05/2021, 18:19:09, 28.2,64.7
02/05/2021, 18:49:09, 28.1,64.6
02/05/2021, 19:19:09, 28.0,64.3
02/05/2021, 19:49:09, 27.9,63.2
02/05/2021, 20:19:09, 27.7,61.4
02/05/2021, 20:49:09, 27.7,62.0
02/05/2021, 21:19:09, 27.7,61.9
02/05/2021, 21:49:09, 27.7,61.5
02/05/2021, 22:19:09, 27.6,61.6
02/05/2021, 22:49:09, 27.5,61.5
02/05/2021, 23:19:09, 27.5,61.0
02/05/2021, 23:49:09, 27.4,61.0
03/05/2021, 00:19:09, 27.3,61.2
03/05/2021, 00:49:09, 27.3,61.3
03/05/2021, 01:19:09, 27.2,61.4
03/05/2021, 01:49:09, 26.9,54.0
03/05/2021, 02:19:09, 26.4,53.8
03/05/2021, 02:49:09, 26.0,51.7
03/05/2021, 03:19:09, 25.8,51.2
03/05/2021, 03:49:09, 25.6,50.3
03/05/2021, 04:19:09, 25.4,50.8
03/05/2021, 04:49:09, 25.3,50.7
03/05/2021, 05:19:09, 25.2,50.5
03/05/2021, 05:49:09, 25.1,52.3
03/05/2021, 06:19:09, 25.0,51.2
03/05/2021, 06:49:09, 25.0,51.8
03/05/2021, 07:19:09, 25.0,53.9
03/05/2021, 07:49:09, 24.8,59.1
03/05/2021, 08:19:09, 25.2,60.0
03/05/2021, 08:49:09, 25.7,61.6
03/05/2021, 09:19:09, 25.9,63.4
03/05/2021, 09:49:09, 26.0,64.3
03/05/2021, 10:19:09, 25.3,62.2
03/05/2021, 10:49:09, 24.8,61.1
03/05/2021, 11:19:09, 24.7,61.1
03/05/2021, 11:49:09, 24.7,60.2
03/05/2021, 12:19:09, 25.0,64.6
03/05/2021, 12:49:09, 25.7,65.1
03/05/2021, 13:19:09, 25.9,65.0
03/05/2021, 13:49:09, 26.1,65.2
03/05/2021, 14:19:09, 26.4,65.8
03/05/2021, 14:49:09, 26.3,61.6
03/05/2021, 15:19:09, 26.4,59.8
03/05/2021, 15:49:09, 26.4,58.9
03/05/2021, 16:19:09, 26.6,60.2
03/05/2021, 16:49:09, 26.6,60.0
03/05/2021, 17:19:09, 26.7,59.7
03/05/2021, 17:49:09, 26.7,60.9
03/05/2021, 18:19:09, 26.9,61.3
03/05/2021, 18:49:09, 26.7,55.9
03/05/2021, 19:19:09, 27.0,57.5
03/05/2021, 19:49:09, 27.2,60.6
03/05/2021, 20:19:09, 27.3,62.7
03/05/2021, 20:49:09, 27.3,65.6
03/05/2021, 21:19:09, 27.2,66.0
03/05/2021, 21:49:09, 27.2,66.4
03/05/2021, 22:19:09, 27.1,60.2
03/05/2021, 22:49:09, 27.1,57.1
03/05/2021, 23:19:09, 27.1,59.3
03/05/2021, 23:49:09, 27.2,61.8
04/05/2021, 00:19:09, 27.2,63.9
04/05/2021, 00:49:09, 27.1,65.0
04/05/2021, 01:19:09, 27.1,65.7
04/05/2021, 01:49:09, 27.1,66.0
04/05/2021, 02:19:09, 27.1,65.9
04/05/2021, 02:49:09, 27.1,65.0
04/05/2021, 03:19:09, 27.1,64.8
04/05/2021, 03:49:09, 27.1,64.8
04/05/2021, 04:19:09, 27.1,64.9
04/05/2021, 04:49:09, 27.0,64.9
04/05/2021, 05:19:09, 27.0,64.9
04/05/2021, 05:49:09, 27.0,65.2
04/05/2021, 06:19:09, 27.0,65.2
04/05/2021, 06:49:09, 27.0,65.9
04/05/2021, 07:19:09, 26.9,64.5
04/05/2021, 07:49:09, 26.8,64.1
04/05/2021, 08:19:09, 26.8,62.9
04/05/2021, 08:49:09, 26.7,60.3
04/05/2021, 09:19:09, 26.7,59.4
04/05/2021, 09:49:09, 26.7,60.4
04/05/2021, 10:19:09, 26.8,60.9
04/05/2021, 10:49:09, 26.8,61.1
04/05/2021, 11:19:09, 27.0,62.3
04/05/2021, 11:49:09, 27.1,62.0
04/05/2021, 12:19:09, 27.2,63.1
04/05/2021, 12:49:09, 26.5,61.9
04/05/2021, 13:19:09, 27.0,62.2
04/05/2021, 13:49:09, 27.3,63.4
04/05/2021, 14:19:09, 27.4,62.0
04/05/2021, 14:49:09, 27.7,61.2
04/05/2021, 15:19:09, 27.5,60.1
04/05/2021, 15:49:09, 27.6,60.2
04/05/2021, 16:19:09, 27.5,59.2
04/05/2021, 16:49:09, 27.6,58.7
04/05/2021, 17:19:09, 27.8,59.6
04/05/2021, 17:49:09, 27.5,59.8
04/05/2021, 18:19:09, 27.8,55.8
04/05/2021, 18:49:09, 27.4,56.3
04/05/2021, 19:19:09, 27.9,59.5
04/05/2021, 19:49:09, 28.0,61.1
04/05/2021, 20:19:09, 28.1,62.0
04/05/2021, 20:49:09, 27.5,57.2
04/05/2021, 21:19:09, 27.4,52.3
04/05/2021, 21:49:09, 27.7,54.1
04/05/2021, 22:19:09, 27.8,55.4
04/05/2021, 22:49:09, 27.7,58.5
04/05/2021, 23:19:09, 27.8,59.5
04/05/2021, 23:49:09, 27.8,60.3
05/05/2021, 00:19:09, 27.8,61.1
05/05/2021, 00:49:09, 27.8,61.7
05/05/2021, 01:19:09, 27.7,62.4
05/05/2021, 01:49:09, 27.7,63.1
05/05/2021, 02:19:09, 27.7,63.6
05/05/2021, 02:49:09, 27.7,64.0
05/05/2021, 03:19:09, 27.7,64.5
05/05/2021, 03:49:09, 27.7,64.9
05/05/2021, 04:19:09, 27.7,65.2
05/05/2021, 04:49:09, 27.7,65.5
05/05/2021, 05:19:09, 27.6,65.7
05/05/2021, 05:49:09, 27.6,65.7
05/05/2021, 06:19:09, 27.6,65.8
05/05/2021, 06:49:09, 27.6,65.9
05/05/2021, 07:19:09, 27.4,61.9
05/05/2021, 07:49:09, 27.1,63.8
05/05/2021, 08:19:09, 26.5,62.2
05/05/2021, 08:49:09, 25.2,57.4
05/05/2021, 09:19:09, 24.8,56.8
05/05/2021, 09:49:09, 24.5,56.8
05/05/2021, 10:19:09, 24.4,59.7
05/05/2021, 10:49:09, 24.5,62.0
05/05/2021, 11:19:09, 24.8,60.5
05/05/2021, 11:49:09, 24.4,62.2
05/05/2021, 12:19:09, 24.5,61.7
05/05/2021, 12:49:09, 24.9,59.3
05/05/2021, 13:19:09, 25.3,60.6
05/05/2021, 13:49:09, 25.5,61.8
05/05/2021, 14:19:09, 25.0,61.0
05/05/2021, 14:49:09, 23.1,54.2
05/05/2021, 15:19:09, 22.5,55.2
05/05/2021, 15:49:09, 22.1,53.1
05/05/2021, 16:19:09, 22.4,57.3
05/05/2021, 16:49:09, 21.9,54.1
05/05/2021, 17:19:09, 22.4,54.9
05/05/2021, 17:49:09, 22.3,53.8
05/05/2021, 18:19:09, 22.0,52.6
05/05/2021, 18:49:09, 21.9,51.9
05/05/2021, 19:19:09, 23.2,54.9
05/05/2021, 19:49:09, 24.1,66.9
05/05/2021, 20:19:09, 24.3,64.9
05/05/2021, 20:49:09, 24.7,64.1
05/05/2021, 21:19:09, 25.1,66.4
05/05/2021, 21:49:09, 25.1,67.2
05/05/2021, 22:19:09, 25.2,66.3
05/05/2021, 22:49:09, 25.2,65.8
05/05/2021, 23:19:09, 25.3,65.4
05/05/2021, 23:49:09, 25.4,65.3
06/05/2021, 00:19:09, 25.4,65.1
06/05/2021, 00:49:09, 25.5,65.1
06/05/2021, 01:19:09, 25.5,65.1
06/05/2021, 01:49:09, 25.5,65.2
06/05/2021, 02:19:09, 25.6,65.2
06/05/2021, 02:49:09, 25.6,65.3
06/05/2021, 03:19:09, 25.6,65.3
06/05/2021, 03:49:09, 25.7,65.4
06/05/2021, 04:19:09, 25.7,65.5
06/05/2021, 04:49:09, 25.7,65.6
06/05/2021, 05:19:09, 25.7,65.7
06/05/2021, 05:49:09, 25.8,65.8
06/05/2021, 06:19:09, 25.8,65.9
06/05/2021, 06:49:09, 25.8,66.5
06/05/2021, 07:19:09, 25.8,67.1
06/05/2021, 07:49:09, 25.8,67.1
06/05/2021, 08:19:09, 25.2,60.1
06/05/2021, 08:49:09, 23.4,54.6
06/05/2021, 09:19:09, 22.5,55.9
06/05/2021, 09:49:09, 22.1,55.9
06/05/2021, 10:19:09, 22.0,53.7
06/05/2021, 10:49:09, 21.8,55.4
06/05/2021, 11:19:09, 21.7,53.9
06/05/2021, 11:49:09, 21.7,55.7
06/05/2021, 12:19:09, 22.6,63.1
06/05/2021, 12:49:09, 23.5,63.0
06/05/2021, 13:19:09, 23.9,62.5
06/05/2021, 13:49:09, 24.2,62.4
06/05/2021, 14:19:09, 24.5,65.1
06/05/2021, 14:49:09, 24.9,66.4
06/05/2021, 15:19:09, 23.3,56.2
